fecha,hora,texto,respuesta,titulo,precio,precio_lista,off,cuotas,cuotas_sin_interes,cupon,cupon_codigo,cupon_vence,envio_gratis,rank,rank_categoria,unidades_vendidas,imagen_url
2026-09-05,15:20,Motorola G17 256GB a $331.002\n\n26% OFF\nAntes $449.999\n12 cuotas SIN INTERÉS de $27.583\n4º más vendido en Celulares\n\nCUPÓN CYBERFULL: -$20.000\nQueda en $311.002 · vence hoy 23:59\n\nhttps://meli.la/1xfRxKM\nLink de afiliado.,,Motorola G17 de 256 Gb Alaskan Blue,331002,449999,26% OFF,12 cuotas de $27.583,si,311002,CYBERFULL,2026-09-05 23:59,si,4,Celulares,1000,https://http2.mlstatic.com/D_NQ_NP_841724-MLA115773510915_082026-O.webp
2026-09-05,18:10,Freidora de aire Atma 8 litros a $132.870\n\n35% OFF\nAntes $204.999\n3 cuotas SIN INTERÉS de $44.290\n1ª más vendida en Freidoras de Aire\n\nCUPÓN CYBERELECTRO: -10%\nQueda en $119.583 · vence hoy 23:59\n\nhttps://meli.la/2Ffrvrp\nLink de afiliado.,,Freidora de Aire Atma FR248AWP 1750w 8 Litros,132870,204999,35% OFF,3 cuotas de $44.290,si,119583,CYBERELECTRO,2026-09-05 23:59,si,1,Freidoras de Aire,5000,https://http2.mlstatic.com/D_NQ_NP_938034-MLA99538599448_122025-O.webp
2026-09-05,19:50,Smartwatch Xiaomi Redmi 5 Lite a $87.899\n\n53% OFF\nAntes $187.681\n6 cuotas de $19.775\n3º más vendido en Smartwatches\n+50 mil vendidos · Envío gratis\n\nhttps://meli.la/1zP43Ar\nLink de afiliado.,,Smartwatch Xiaomi Redmi 5 Lite 1.96 Negro,87899,187681,53% OFF,6 cuotas de $19.775,no,,,,si,3,Smartwatches,50000,https://http2.mlstatic.com/D_NQ_NP_661173-MLA99926131065_112025-O.webp
2026-09-05,21:40,"Smart TV Samsung 55"" QLED 4K a $899.999\n\n18% OFF\nAntes $1.099.999\n12 cuotas SIN INTERÉS de $74.999\n2º más vendido en Televisores\n\nCUPÓN CYBERFULL: -$20.000\nQueda en $879.999 · vence hoy 23:59\n\nhttps://meli.la/2ogZdSe\nLink de afiliado.",,"Smart TV Samsung 55"" QLED Q6F 4K",899999,1099999,18% OFF,12 cuotas de $74.999,si,879999,CYBERFULL,2026-09-05 23:59,si,2,Televisores,5000,https://http2.mlstatic.com/D_NQ_NP_840312-MLA108249322714_032026-O.webp
2026-09-06,09:10,Yogurtera Yelmo 7 jarros a $32.990\n\n34% OFF\nAntes $49.999\n1ª más vendida en Yogurteras\n+50 mil vendidos · Envío gratis\n\nhttps://meli.la/14HmksD\nLink de afiliado.,,Yogurtera Yelmo YG-1700 7 Jarros,32990,49999,34% OFF,6 cuotas de $7.422,no,,,,si,1,Yogurteras,50000,https://http2.mlstatic.com/D_NQ_NP_794503-MLA113911080193_062026-O.webp
2026-09-06,12:40,Samsung Galaxy A17 a $334.499\n\n28% OFF\nAntes $469.999\n6 cuotas de $75.256\nEnvío gratis\n\nCUPÓN CYBERMAX: -$15.000\nQueda en $319.499 · vence hoy 23:59\n\nhttps://meli.la/1vEUgnY\nLink de afiliado.,,Samsung Galaxy A17,334499,469999,28% OFF,6 cuotas de $75.256,no,319499,CYBERMAX,2026-09-06 23:59,si,9,Celulares,1000,https://http2.mlstatic.com/D_NQ_NP_907031-MLA99504284188_112025-O.webp
2026-09-06,15:20,Aspiradora de mano Gadnic 9000Pa a $47.599\n\n58% OFF\nAntes $113.399\n1ª más vendida en Aspiradoras\n+10 mil vendidos · Envío gratis\n\nhttps://meli.la/1bJfkiV\nLink de afiliado.,,Aspiradora De Mano Gadnic 9000Pa,47599,113399,58% OFF,6 cuotas de $10.708,no,,,,si,1,Aspiradoras,10000,https://http2.mlstatic.com/D_NQ_NP_942110-MLA100939627408_122025-O.webp
2026-09-06,18:10,Auriculares JBL Wave Beam 2 a $155.999\n\n40% OFF\nAntes $207.999\n2º más vendido en Auriculares\n+10 mil vendidos · Envío gratis\n\nhttps://meli.la/2vTMb19\nLink de afiliado.,,Auriculares JBL Wave Beam 2 TWS,155999,207999,40% OFF,6 cuotas de $35.097,no,,,,si,2,Auriculares,10000,https://http2.mlstatic.com/D_NQ_NP_826282-MLA99972049705_112025-O.webp
2026-09-06,19:50,Proyector portátil Android con parlante a $66.500\n\n30% OFF\nAntes $95.000\n1º más vendido en Proyectores\n+5 mil vendidos · Envío gratis\n\nhttps://meli.la/2yLWckc\nLink de afiliado.,,Proyector Portátil Android Bluetooth HDMI,66500,95000,30% OFF,6 cuotas de $14.961,no,,,,si,1,Proyectores,5000,https://http2.mlstatic.com/D_NQ_NP_793189-MLA107603277100_032026-O.webp
2026-09-06,21:40,"Antes de comprar en cuotas, fijate si dice \""Mismo precio en X cuotas\"".\n\nSi no lo dice, estás pagando interés aunque el cartel diga cuotas.\n\nEn un producto de $300.000 la diferencia se va arriba de $60.000.",,,,,,,,,,,,,,,
2026-09-06,23:15,Último aviso: el cupón CYBERMAX vence a las 23:59.\n\n$15.000 OFF en cualquier producto\nCompra mínima $200.000\n\nSe aplica en el checkout.,,,,,,,,,CYBERMAX,2026-09-06 23:59,,,,,
